mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4232481002807617,0.03798476215737618,0.06343674659729004,0.003735960163875549,200,3,2,15,"{'n_estimators': 200, 'min_samples_leaf': 3, 'max_features': 2, 'max_depth': 15}",0.5804896677962479,0.539128897080808,0.5042725449535054,0.5045105108039538,0.5141146275900571,0.5285032496449144,0.028931999817529183,6
0.41728940010070803,0.003278079786275228,0.060597801208496095,0.0011816016948441811,200,1,1,10,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 1, 'max_depth': 10}",0.6851821335959766,0.6403357397318997,0.5854010536661328,0.6446090336186181,0.5882928313793343,0.6287641583983923,0.037646345515606625,3
0.19967951774597167,0.011106444466124691,0.03098134994506836,0.001397534306241599,100,2,1,15,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 1, 'max_depth': 15}",0.5031475586578098,0.4861787111910989,0.4352659545218188,0.4246549877619785,0.422191589147622,0.45428776025606565,0.033688001277309476,8
0.2840439319610596,0.0017136280638565887,0.037036705017089847,0.0016068879877096033,100,1,2,15,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 2, 'max_depth': 15}",0.8532565977844228,0.8332948646238868,0.7452488907025399,0.8355231304476443,0.77330037131917,0.8081247709755328,0.041442009214485286,1
0.18629965782165528,0.03147110094973198,0.02878575325012207,0.0017399364794549626,100,3,1,10,"{'n_estimators': 100, 'min_samples_leaf': 3, 'max_features': 1, 'max_depth': 10}",0.3236120872822812,0.31015081437993364,0.3012729346175831,0.2745857321902816,0.2811006749289867,0.2981444486798132,0.018155132628968923,10
0.47682795524597166,0.10567357238538522,0.05479555130004883,0.0034406471988094795,200,1,2,15,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 2, 'max_depth': 15}",0.853554329960272,0.8338872281731717,0.7354030530596437,0.837242196546172,0.7762160641986584,0.8072605743875835,0.044448291639538576,2
0.29363722801208497,0.012745222925563914,0.04214653968811035,0.0009943226715463582,200,2,2,10,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 2, 'max_depth': 10}",0.6210623454168605,0.6199605246733559,0.5437448898383066,0.5913992544592215,0.5690805957382257,0.5890495220251941,0.02978959517474432,5
0.15245285034179687,0.0015032957464613781,0.0236208438873291,0.001182799679538096,100,1,1,10,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 1, 'max_depth': 10}",0.6935932148242114,0.6353144718391165,0.5684907211630998,0.6419030470187859,0.5829885751130761,0.624458005991658,0.04484176641465057,4
0.13209285736083984,0.002204923391365868,0.022287607192993164,0.001957968797731275,100,2,2,7,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 2, 'max_depth': 7}",0.544269359060098,0.5334811009748879,0.4901273498160301,0.5254240963684609,0.5028998374854534,0.519240348740986,0.019910138778816016,7
0.24195609092712403,0.00381437046498938,0.03952975273132324,0.0010091575436783152,200,3,1,10,"{'n_estimators': 200, 'min_samples_leaf': 3, 'max_features': 1, 'max_depth': 10}",0.3361990134976086,0.30937506784421465,0.30307885275306956,0.28529138845635804,0.2716900413751655,0.3011268727852833,0.02199630700399183,9
