mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5160487651824951,0.024344603866230084,0.0680077075958252,0.0011908196516138877,200,3,2,15,"{'n_estimators': 200, 'min_samples_leaf': 3, 'max_features': 2, 'max_depth': 15}",0.7231674112424232,0.6928422551588518,0.5765143335957131,0.7529497735160551,0.6437585673433146,0.6778464681712716,0.06220860786489753,2
0.4541468620300293,0.015555774499179166,0.06551995277404785,0.0037896850404719614,200,1,1,10,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 1, 'max_depth': 10}",0.7167255541411708,0.7035946640753921,0.571998353090083,0.76170500904769,0.6334855475697698,0.6775018255848211,0.06689981860421601,3
0.24064211845397948,0.006125775384189176,0.035594844818115236,0.0012771142044049936,100,2,1,15,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 1, 'max_depth': 15}",0.7292828460385481,0.6916142497434052,0.5625888510617867,0.7525930400908419,0.6426976108670164,0.6757553195603198,0.06770553707081398,5
0.3388354301452637,0.030188459038356857,0.038706207275390626,0.002107633328505042,100,1,2,15,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 2, 'max_depth': 15}",0.6745616854038894,0.70818362164569,0.5429433506412924,0.7560914064765507,0.6227375740879125,0.660903527651067,0.07328564417155459,9
0.15146288871765137,0.0034541852614305155,0.02389950752258301,0.0008789857063330935,100,3,1,10,"{'n_estimators': 100, 'min_samples_leaf': 3, 'max_features': 1, 'max_depth': 10}",0.7155346919409977,0.6717533528044317,0.5664451617358426,0.7321687242451542,0.6243363653391691,0.662047659213119,0.0607190351189618,8
0.48177309036254884,0.013856718286788614,0.058349895477294925,0.001290676721058436,200,1,2,15,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 2, 'max_depth': 15}",0.6789355302522992,0.7053488238537695,0.5482534821612915,0.7607180627010827,0.6281684007998494,0.6642848599536585,0.07206654302478878,7
0.34701833724975584,0.0035350681566694146,0.0460543155670166,0.0008876163587271145,200,2,2,10,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 2, 'max_depth': 10}",0.7193569930584621,0.6967251474727453,0.5704483209549456,0.7652673716823535,0.6544806489973694,0.6812556964331751,0.06594566236490489,1
0.18657474517822265,0.017235286719900583,0.02691950798034668,0.0020554802827944135,100,1,1,10,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 1, 'max_depth': 10}",0.7245493190319443,0.7039708636049532,0.5638854436475738,0.7566608551221891,0.6268544288469627,0.6751841820507246,0.07018149649835487,6
0.15452156066894532,0.0056810756098238865,0.02199106216430664,0.0010524206192398249,100,2,2,7,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 2, 'max_depth': 7}",0.7286165916422653,0.6890652432662063,0.5784206436971973,0.7480382613909475,0.6385774688425052,0.6765436417678243,0.061724251773073634,4
0.31478204727172854,0.029667849448052598,0.04611406326293945,0.003135558429634543,200,3,1,10,"{'n_estimators': 200, 'min_samples_leaf': 3, 'max_features': 1, 'max_depth': 10}",0.7216547664055453,0.6635563240168008,0.5655975024096511,0.7237561444636065,0.6238296862292685,0.6596788847049744,0.06016379508027163,10
